action_type.csv@action_type;drug_mechanism.csv@action_type
compound_properties.csv@molregno;drug_mechanism.csv@molregno
compound_properties.csv@molregno;formulations.csv@molregno
compound_properties.csv@molregno;molecule_atc_classification.csv@molregno
compound_properties.csv@molregno;molecule_dictionary.csv@molregno
compound_properties.csv@molregno;molecule_frac_classification.csv@molregno
compound_properties.csv@molregno;molecule_hierarchy.csv@molregno
compound_properties.csv@molregno;molecule_hrac_classification.csv@molregno
compound_properties.csv@molregno;molecule_irac_classification.csv@molregno
compound_properties.csv@molregno;molecule_synonyms.csv@molregno
compound_records.csv@record_id;drug_indication.csv@record_id
compound_records.csv@record_id;drug_mechanism.csv@record_id
compound_records.csv@record_id;formulations.csv@record_id
compound_records.csv@molregno;compound_structural_alerts.csv@molregno
compound_records.csv@molregno;drug_indication.csv@molregno
compound_records.csv@molregno;drug_mechanism.csv@molregno
compound_records.csv@molregno;formulations.csv@molregno
compound_records.csv@molregno;molecule_atc_classification.csv@molregno
compound_records.csv@molregno;molecule_dictionary.csv@molregno
compound_records.csv@molregno;molecule_frac_classification.csv@molregno
compound_records.csv@molregno;molecule_hierarchy.csv@molregno
compound_records.csv@molregno;molecule_hrac_classification.csv@molregno
compound_records.csv@molregno;molecule_irac_classification.csv@molregno
compound_records.csv@molregno;molecule_synonyms.csv@molregno
compound_records.csv@doc_id;docs.csv@doc_id
compound_records.csv@src_id;source.csv@src_id
compound_structural_alerts.csv@molregno;drug_indication.csv@molregno
compound_structural_alerts.csv@molregno;drug_mechanism.csv@molregno
compound_structural_alerts.csv@molregno;formulations.csv@molregno
compound_structural_alerts.csv@molregno;molecule_atc_classification.csv@molregno
compound_structural_alerts.csv@molregno;molecule_dictionary.csv@molregno
compound_structural_alerts.csv@molregno;molecule_frac_classification.csv@molregno
compound_structural_alerts.csv@molregno;molecule_hierarchy.csv@molregno
compound_structural_alerts.csv@molregno;molecule_hrac_classification.csv@molregno
compound_structural_alerts.csv@molregno;molecule_irac_classification.csv@molregno
compound_structural_alerts.csv@molregno;molecule_synonyms.csv@molregno
compound_structural_alerts.csv@alert_id;structural_alerts.csv@alert_id
domains.csv@domain_id;site_components.csv@domain_id
drug_indication.csv@drugind_id;indication_refs.csv@drugind_id
drug_indication.csv@record_id;drug_mechanism.csv@record_id
drug_indication.csv@record_id;formulations.csv@record_id
drug_indication.csv@molregno;drug_mechanism.csv@molregno
drug_indication.csv@molregno;formulations.csv@molregno
drug_indication.csv@molregno;molecule_atc_classification.csv@molregno
drug_indication.csv@molregno;molecule_dictionary.csv@molregno
drug_indication.csv@molregno;molecule_frac_classification.csv@molregno
drug_indication.csv@molregno;molecule_hierarchy.csv@molregno
drug_indication.csv@molregno;molecule_hrac_classification.csv@molregno
drug_indication.csv@molregno;molecule_irac_classification.csv@molregno
drug_indication.csv@molregno;molecule_synonyms.csv@molregno
drug_mechanism.csv@mec_id;mechanism_refs.csv@mec_id
drug_mechanism.csv@record_id;formulations.csv@record_id
drug_mechanism.csv@molregno;formulations.csv@molregno
drug_mechanism.csv@molregno;molecule_atc_classification.csv@molregno
drug_mechanism.csv@molregno;molecule_dictionary.csv@molregno
drug_mechanism.csv@molregno;molecule_frac_classification.csv@molregno
drug_mechanism.csv@molregno;molecule_hierarchy.csv@molregno
drug_mechanism.csv@molregno;molecule_irac_classification.csv@molregno
drug_mechanism.csv@molregno;molecule_synonyms.csv@molregno
drug_mechanism.csv@tid;target_components.csv@tid
drug_mechanism.csv@tid;target_dictionary.csv@tid
drug_mechanism.csv@tid;target_relations.csv@tid
drug_mechanism.csv@site_id;predicted_binding_domains.csv@site_id
drug_mechanism.csv@site_id;site_components.csv@site_id
formulations.csv@product_id;product_patents.csv@product_id
formulations.csv@product_id;products.csv@product_id
formulations.csv@molregno;molecule_atc_classification.csv@molregno
formulations.csv@molregno;molecule_dictionary.csv@molregno
formulations.csv@molregno;molecule_frac_classification.csv@molregno
formulations.csv@molregno;molecule_hierarchy.csv@molregno
formulations.csv@molregno;molecule_irac_classification.csv@molregno
formulations.csv@molregno;molecule_synonyms.csv@molregno
frac_classification.csv@frac_class_id;molecule_frac_classification.csv@frac_class_id
frac_classification.csv@active_ingredient;hrac_classification.csv@active_ingredient
frac_classification.csv@active_ingredient;irac_classification.csv@active_ingredient
frac_classification.csv@level1;hrac_classification.csv@level1
frac_classification.csv@level1;irac_classification.csv@level1
frac_classification.csv@level2;hrac_classification.csv@level2
frac_classification.csv@level2;irac_classification.csv@level2
frac_classification.csv@level3;hrac_classification.csv@level3
frac_classification.csv@level3_description;irac_classification.csv@level3_description
go_classification.csv@class_level;protein_classification.csv@class_level
hrac_classification.csv@hrac_class_id;molecule_hrac_classification.csv@hrac_class_id
hrac_classification.csv@active_ingredient;irac_classification.csv@active_ingredient
hrac_classification.csv@level1;irac_classification.csv@level1
hrac_classification.csv@level1_description;irac_classification.csv@level1_description
hrac_classification.csv@level2;irac_classification.csv@level2
indication_refs.csv@ref_type;mechanism_refs.csv@ref_type
indication_refs.csv@ref_type;metabolism_refs.csv@ref_type
indication_refs.csv@ref_id;mechanism_refs.csv@ref_id
indication_refs.csv@ref_id;metabolism_refs.csv@ref_id
indication_refs.csv@ref_url;mechanism_refs.csv@ref_url
indication_refs.csv@ref_url;metabolism_refs.csv@ref_url
irac_classification.csv@irac_class_id;molecule_irac_classification.csv@irac_class_id
ligand_eff.csv@activity_id;predicted_binding_domains.csv@activity_id
mechanism_refs.csv@ref_type;metabolism_refs.csv@ref_type
mechanism_refs.csv@ref_id;metabolism_refs.csv@ref_id
mechanism_refs.csv@ref_url;metabolism_refs.csv@ref_url
metabolism.csv@met_id;metabolism_refs.csv@met_id
metabolism.csv@organism;target_dictionary.csv@organism
metabolism.csv@organism;variant_sequences.csv@organism
metabolism.csv@tax_id;organism_class.csv@tax_id
metabolism.csv@tax_id;target_dictionary.csv@tax_id
molecule_atc_classification.csv@molregno;molecule_dictionary.csv@molregno
molecule_atc_classification.csv@molregno;molecule_frac_classification.csv@molregno
molecule_atc_classification.csv@molregno;molecule_hierarchy.csv@molregno
molecule_atc_classification.csv@molregno;molecule_irac_classification.csv@molregno
molecule_atc_classification.csv@molregno;molecule_synonyms.csv@molregno
molecule_dictionary.csv@molregno;molecule_frac_classification.csv@molregno
molecule_dictionary.csv@molregno;molecule_hierarchy.csv@molregno
molecule_dictionary.csv@molregno;molecule_hrac_classification.csv@molregno
molecule_dictionary.csv@molregno;molecule_irac_classification.csv@molregno
molecule_dictionary.csv@molregno;molecule_synonyms.csv@molregno
molecule_dictionary.csv@oral;products.csv@oral
molecule_dictionary.csv@parenteral;products.csv@parenteral
molecule_dictionary.csv@topical;products.csv@topical
molecule_dictionary.csv@black_box_warning;products.csv@black_box_warning
molecule_frac_classification.csv@molregno;molecule_hierarchy.csv@molregno
molecule_frac_classification.csv@molregno;molecule_irac_classification.csv@molregno
molecule_frac_classification.csv@molregno;molecule_synonyms.csv@molregno
molecule_hierarchy.csv@molregno;molecule_hrac_classification.csv@molregno
molecule_hierarchy.csv@molregno;molecule_irac_classification.csv@molregno
molecule_hierarchy.csv@molregno;molecule_synonyms.csv@molregno
molecule_hrac_classification.csv@molregno;molecule_irac_classification.csv@molregno
molecule_hrac_classification.csv@molregno;molecule_synonyms.csv@molregno
molecule_irac_classification.csv@molregno;molecule_synonyms.csv@molregno
molecule_synonyms.csv@res_stem_id;research_companies.csv@res_stem_id
molecule_synonyms.csv@res_stem_id;research_stem.csv@res_stem_id
organism_class.csv@tax_id;target_dictionary.csv@tax_id
patent_use_codes.csv@patent_use_code;product_patents.csv@patent_use_code
predicted_binding_domains.csv@site_id;site_components.csv@site_id
product_patents.csv@product_id;products.csv@product_id
protein_class_synonyms.csv@protein_class_id;protein_classification.csv@protein_class_id
protein_class_synonyms.csv@protein_class_id;protein_family_classification.csv@protein_class_id
protein_classification.csv@protein_class_id;protein_family_classification.csv@protein_class_id
protein_classification.csv@pref_name;target_dictionary.csv@pref_name
protein_classification.csv@protein_class_desc;protein_family_classification.csv@protein_class_desc
research_companies.csv@res_stem_id;research_stem.csv@res_stem_id
site_components.csv@component_id;target_components.csv@component_id
structural_alert_sets.csv@alert_set_id;structural_alerts.csv@alert_set_id
target_components.csv@tid;target_dictionary.csv@tid
target_components.csv@tid;target_relations.csv@tid
target_dictionary.csv@tid;target_relations.csv@tid
target_dictionary.csv@target_type;target_type.csv@target_type
target_dictionary.csv@pref_name;tissue_dictionary.csv@pref_name
target_dictionary.csv@organism;variant_sequences.csv@organism
assay_parameters.csv@assay_param_id;docs.csv@doc_id
bio_component_sequences.csv@tax_id;cell_dictionary.csv@cell_source_tax_id
biotherapeutic_components.csv@biocomp_id;component_go.csv@component_id
biotherapeutic_components.csv@molregno;molecule_synonyms.csv@molsyn_id
biotherapeutics.csv@molregno;molecule_synonyms.csv@molsyn_id
chembl_id_lookup.csv@entity_id;drug_indication.csv@record_id
chembl_id_lookup.csv@entity_id;drug_mechanism.csv@record_id
chembl_id_lookup.csv@entity_id;indication_refs.csv@drugind_id
chembl_id_lookup.csv@entity_id;target_components.csv@tid
chembl_id_lookup.csv@entity_id;target_relations.csv@tid
component_class.csv@comp_class_id;component_domains.csv@component_id
component_class.csv@comp_class_id;component_go.csv@component_id
component_class.csv@comp_class_id;component_sequences.csv@component_id
component_class.csv@comp_class_id;component_synonyms.csv@component_id
component_class.csv@comp_class_id;target_components.csv@component_id
component_domains.csv@component_id;protein_classification.csv@protein_class_id
component_domains.csv@component_id;protein_family_classification.csv@protein_class_id
component_domains.csv@component_id;variant_sequences.csv@variant_id
component_go.csv@component_id;product_patents.csv@prod_pat_id
component_go.csv@component_id;protein_class_synonyms.csv@protein_class_id
component_sequences.csv@component_id;product_patents.csv@prod_pat_id
component_synonyms.csv@component_id;product_patents.csv@prod_pat_id
component_synonyms.csv@component_id;protein_classification.csv@protein_class_id
component_synonyms.csv@component_id;protein_family_classification.csv@protein_class_id
compound_records.csv@molregno;molecule_synonyms.csv@molsyn_id
compound_structural_alerts.csv@molregno;molecule_synonyms.csv@molsyn_id
molecule_frac_classification.csv@mol_frac_id;molecule_irac_classification.csv@mol_irac_id
molecule_frac_classification.csv@molregno;molecule_synonyms.csv@molsyn_id
molecule_hierarchy.csv@active_molregno;molecule_hrac_classification.csv@molregno
molecule_hierarchy.csv@active_molregno;molecule_irac_classification.csv@molregno
molecule_hierarchy.csv@active_molregno;molecule_synonyms.csv@molsyn_id
molecule_hierarchy.csv@molregno;molecule_synonyms.csv@molsyn_id
molecule_hierarchy.csv@parent_molregno;molecule_synonyms.csv@molsyn_id
molecule_hrac_classification.csv@mol_hrac_id;molecule_irac_classification.csv@mol_irac_id
molecule_hrac_classification.csv@molregno;molecule_synonyms.csv@molsyn_id
molecule_irac_classification.csv@irac_class_id;protein_family_classification.csv@protein_class_id
molecule_irac_classification.csv@mol_irac_id;protein_family_classification.csv@protein_class_id
molecule_irac_classification.csv@molregno;molecule_synonyms.csv@molsyn_id
molecule_synonyms.csv@res_stem_id;research_companies.csv@co_stem_id
organism_class.csv@oc_id;product_patents.csv@prod_pat_id
organism_class.csv@oc_id;protein_class_synonyms.csv@protein_class_id
protein_classification.csv@protein_class_id;target_components.csv@targcomp_id
protein_classification.csv@protein_class_id;variant_sequences.csv@variant_id
research_companies.csv@co_stem_id;research_stem.csv@res_stem_id
defined_daily_dose.csv@atc_code;atc_classification.csv@level5
formulations.csv@ingredient;products.csv@trade_name;
